User,Items,Ratings,,,,,,,,,,,,,,,,,,,,,
u5,item_6,2,,,,,,,,,,,,,,,,,,,,,
u5,item_7,3,,,,,,,,,,,,,,,,,,,,,
u5,item_8,3,,,,,,,,,,,,,,,,,,,,,
u5,item_9,3,,,,,,,,,,,,,,,,,,,,,
u6,item_1,1,,,,,,,,,,,,,,,,,,,,,
u6,item_10,5,,,,,,,,,,,,,,,,,,,,,
u6,item_11,1,,,,,,,,,,,,,,,,,,,,,
u6,item_12,2,,,,,,,,,,,,,,,,,,,,,
u6,item_2,2,,,,,,,,,,,,,,,,,,,,,
u6,item_3,3,,,,,,,,,,,,,,,,,,,,,
u6,item_4,4,,,,,,,,,,,,,,,,,,,,,
u6,item_5,5,,,,,,,,,,,,,,,,,,,,,
u6,item_6,1,,,,,,,,,,,,,,,,,,,,,
u6,item_7,2,,,,,,,,,,,,,,,,,,,,,
u6,item_8,3,,,,,,,,,,,,,,,,,,,,,
u6,item_9,4,,,,,,,,,,,,,,,,,,,,,
u7,item_10,1,,,,,,,,,,,,,,,,,,,,,
u7,item_11,2,,,,,,,,,,,,,,,,,,,,,
u7,item_12,3,,,,,,,,,,,,,,,,,,,,,
u7,item_2,1,,,,,,,,,,,,,,,,,,,,,
u7,item_3,2,,,,,,,,,,,,,,,,,,,,,
u7,item_4,3,,,,,,,,,,,,,,,,,,,,,
u7,item_6,1,,,,,,,,,,,,,,,,,,,,,
u7,item_7,2,,,,,,,,,,,,,,,,,,,,,
u7,item_8,3,,,,,,,,,,,,,,,,,,,,,
u8,item_1,5,,,,,,,,,,,,,,,,,,,,,
u8,item_11,1,,,,,,,,,,,,,,,,,,,,,
u8,item_12,2,,,,,,,,,,,,,,,,,,,,,
u8,item_3,4,,,,,,,,,,,,,,,,,,,,,
u8,item_5,3,,,,,,,,,,,,,,,,,,,,,
u8,item_7,2,,,,,,,,,,,,,,,,,,,,,
u8,item_9,1,,,,,,,,,,,,,,,,,,,,,
u9,item_1,5,,,,,,,,,,,,,,,,,,,,,
u9,item_10,5,,,,,,,,,,,,,,,,,,,,,
u9,item_11,4,,,,,,,,,,,,,,,,,,,,,
u9,item_12,3,,,,,,,,,,,,,,,,,,,,,
u9,item_2,4,,,,,,,,,,,,,,,,,,,,,
u9,item_3,3,,,,,,,,,,,,,,,,,,,,,
u9,item_4,5,,,,,,,,,,,,,,,,,,,,,
u9,item_5,4,,,,,,,,,,,,,,,,,,,,,
u9,item_6,3,,,,,,,,,,,,,,,,,,,,,
u9,item_7,5,,,,,,,,,,,,,,,,,,,,,
u9,item_8,4,,,,,,,,,,,,,,,,,,,,,
u9,item_9,3,,,,,,,,,,,,,,,,,,,,,
